1,ZMEM960,2024,9,1,600
2,ZMEM960,2024,9,2,400
3,ZMEM960,2024,9,3,800
4,ZMEM960,2024,9,4,3000
5,ZMEM960,2024,9,5,500
6,ZMEM960,2024,9,6,200
7,ZMEM960,2024,9,7,80
8,ZMEM960,2024,9,8,200
9,ZMEM960,2024,9,9,0
10,ZMEM960,2024,9,10,400
11,ZMEM960,2024,10,1,590
12,ZMEM960,2024,10,2,390
13,ZMEM960,2024,10,3,790
14,ZMEM960,2024,10,4,2990
15,ZMEM960,2024,10,5,490
16,ZMEM960,2024,10,6,190
17,ZMEM960,2024,10,7,70
18,ZMEM960,2024,10,8,190
19,ZMEM960,2024,10,9,0
20,ZMEM960,2024,10,10,390
21,ZMEM960,2024,11,1,610
22,ZMEM960,2024,11,2,410
23,ZMEM960,2024,11,3,810
24,ZMEM960,2024,11,4,3010
25,ZMEM960,2024,11,5,510
26,ZMEM960,2024,11,6,210
27,ZMEM960,2024,11,7,90
28,ZMEM960,2024,11,8,210
29,ZMEM960,2024,11,9,20
30,ZMEM960,2024,11,10,410
31,WHWH380,2024,9,1,1000
32,WHWH381,2024,9,2,50
33,WHWH382,2024,9,3,1300
34,WHWH383,2024,9,4,2200
35,WHWH384,2024,9,5,700
36,WHWH385,2024,9,6,300
37,WHWH386,2024,9,7,20
38,WHWH387,2024,9,8,500
39,WHWH388,2024,9,9,300
40,WHWH389,2024,9,10,0
41,WHWH380,2024,10,1,990
42,WHWH381,2024,10,2,40
43,WHWH382,2024,10,3,1290
44,WHWH383,2024,10,4,2190
45,WHWH384,2024,10,5,690
46,WHWH385,2024,10,6,290
47,WHWH386,2024,10,7,10
48,WHWH387,2024,10,8,490
49,WHWH388,2024,10,9,290
50,WHWH389,2024,10,10,0
51,WHWH380,2024,11,1,1020
52,WHWH381,2024,11,2,70
53,WHWH382,2024,11,3,1320
54,WHWH383,2024,11,4,2220
55,WHWH384,2024,11,5,720
56,WHWH385,2024,11,6,320
57,WHWH386,2024,11,7,40
58,WHWH387,2024,11,8,520
59,WHWH388,2024,11,9,320
60,WHWH389,2024,11,10,20